timestamp,X,Y,Z
1764346967546,5.976000,-12.586051,-3.508950
1764346967556,6.618001,-13.516951,-4.327950
1764346967566,7.405050,-14.700001,-6.123000
1764346967576,6.685050,-15.178950,-12.396001
1764346967586,5.632950,-16.126951,-10.735050
1764346967596,4.690050,-17.274000,-5.877000
1764346967605,3.007050,-16.845001,-5.448000
1764346967615,2.308050,-15.604951,-5.994000
1764346967625,2.715000,-13.515000,-5.913000
1764346967635,3.273000,-12.292050,-4.486050
1764346967645,3.688950,-12.663001,-3.198000
1764346967655,4.104000,-12.763051,-2.377050
1764346967665,4.162950,-11.044050,-0.352950
1764346967675,3.238950,-8.875051,0.712950
1764346967685,2.248050,-7.102951,1.494000
1764346967695,1.669050,-6.100050,1.884000
1764346967705,2.218950,-6.262950,2.269950
1764346967715,3.208050,-6.973950,1.764000
1764346967725,4.860000,-8.623950,1.003050
1764346967735,6.844950,-10.606050,0.273000
1764346967745,8.712001,-12.442051,-0.103950
1764346967755,9.988951,-13.972051,-0.652950
1764346967765,10.666051,-14.631001,-0.756000
1764346967775,10.834050,-13.843051,0.265950
1764346967785,10.228050,-12.282001,2.241000
1764346967794,8.760000,-10.273050,3.415950
1764346967804,7.747951,-8.740951,3.694050
1764346967814,7.489050,-7.162951,6.165000
1764346967824,8.016001,-5.796000,6.166950
1764346967834,10.348050,-5.578050,-6.123000
1764346967844,9.538051,-4.282950,-10.075951
1764346967854,6.475950,-1.728000,-4.785000
1764346967864,5.037000,-0.832950,-2.733000
1764346967874,4.089000,-1.216050,-1.857000
1764346967884,4.563000,-1.975050,-0.403950
1764346967894,4.876950,-2.101950,-0.616950
1764346967904,4.567950,-2.110950,-1.191000
1764346967914,4.104000,-1.623000,-0.696000
1764346967924,3.874050,-1.420050,0.100050
1764346967934,4.197000,-1.695000,0.160050
1764346967944,4.149000,-1.872000,-0.423000
1764346967954,3.916950,-2.206950,-0.364950
1764346967964,3.778050,-2.842050,-0.243000
1764346967974,3.739950,-3.553050,0.115050
1764346967984,3.655950,-4.056000,-0.073050
1764346967993,3.831000,-4.822050,-0.613950
1764346968003,3.832950,-5.581050,-1.150950
1764346968013,4.254000,-6.451950,-1.960050
1764346968023,4.171050,-7.065001,-2.215950
1764346968033,4.072050,-8.121000,-2.082000
1764346968043,3.871050,-9.502050,-3.643050
1764346968053,2.442000,-11.449051,-13.201051
1764346968063,-5.986950,-15.679050,-43.819954
1764346968073,-14.236951,-15.964050,-17.506050
1764346968083,-7.756051,-16.606050,-5.665950
1764346968093,-0.006000,-15.969001,-4.488000
1764346968103,-0.138000,-12.141001,-10.297050
1764346968113,-1.225050,-9.225000,-9.757951
1764346968123,1.027050,-8.391001,-3.265050
1764346968133,3.928950,-8.395950,-2.092050
1764346968143,6.469050,-8.320050,-6.894001
1764346968153,9.723001,-9.208051,-6.334050
1764346968163,11.736001,-9.808950,-5.886000
1764346968173,15.394951,-10.261050,-9.310050
1764346968183,14.085001,-9.526051,-1.522050
1764346968192,10.747951,-8.824950,2.760000
1764346968202,8.751000,-8.542050,1.992000
1764346968212,7.659000,-9.526051,4.075050
1764346968222,7.245000,-11.310000,4.171050
1764346968232,6.409050,-12.486001,2.097000
1764346968242,6.273000,-13.458000,-1.504950
1764346968252,6.096000,-13.848001,-4.231950
1764346968262,5.466000,-13.741951,-3.925950
1764346968272,4.944000,-13.084050,-2.347950
1764346968282,3.811950,-11.250001,-1.372950
1764346968292,2.734050,-9.322950,-0.897000
1764346968302,2.037000,-7.735050,-0.837000
1764346968312,1.945950,-6.817950,-1.171950
1764346968322,2.140050,-6.045000,-0.976050
1764346968332,2.413050,-5.170950,-0.069000
1764346968342,2.631000,-4.588950,0.366000
1764346968352,2.962050,-4.336050,0.567000
1764346968362,3.289950,-4.165950,0.700950
1764346968372,3.526950,-3.943050,0.687000
1764346968382,3.658050,-3.756000,0.427950
1764346968391,3.715950,-3.643950,0.328050
1764346968401,3.847050,-3.667950,0.163050
1764346968411,3.949950,-4.005000,0.214950
1764346968421,4.008000,-4.306950,0.282000
1764346968431,4.230000,-4.752000,-0.090000
1764346968441,4.450950,-5.224050,-0.255000
1764346968451,4.659000,-5.872950,-0.379950
1764346968461,4.791000,-6.462000,-0.373050
1764346968471,5.035050,-7.045950,-0.703050
1764346968481,5.502000,-7.771050,-1.309050
1764346968491,5.890050,-8.566051,-2.017050
1764346968501,5.997000,-9.154950,-2.671050
1764346968511,6.036000,-9.559951,-3.592950
1764346968521,5.911050,-9.684000,-4.591050
1764346968531,6.153000,-9.964050,-5.197050
1764346968541,6.310950,-10.567950,-5.673000
1764346968551,6.463950,-11.323951,-6.652950
1764346968561,5.965950,-12.004050,-8.428950
1764346968571,4.312050,-12.660001,-10.492950
1764346968580,2.926050,-13.458000,-7.408950
1764346968590,2.206950,-14.872951,-3.820050
1764346968600,1.336050,-15.739051,-1.627050
1764346968610,0.393000,-16.162951,-1.393050
1764346968620,0.178950,-15.664950,-3.009000
1764346968630,1.812000,-14.140051,-4.251000
1764346968640,3.958050,-12.901951,-4.399950
1764346968650,4.803000,-12.069000,-3.547050
1764346968660,4.762050,-11.305051,-2.154000
1764346968670,4.125000,-10.254001,-0.586050
1764346968680,3.651000,-9.355950,0.712950
1764346968690,3.661050,-8.772000,0.828000
1764346968700,3.900000,-8.523001,1.324050
1764346968710,4.254000,-8.691000,1.465050
1764346968720,5.016000,-9.145950,1.057950
1764346968730,5.896950,-9.823050,0.630000
1764346968740,6.493050,-10.804951,-0.018000
1764346968750,7.537050,-11.767051,-0.058950
1764346968760,8.100000,-12.145950,-0.081000
1764346968770,8.226001,-11.827050,-0.214950
1764346968779,8.346001,-10.987050,0.499950
1764346968789,8.643001,-9.865951,2.724000
1764346968799,9.232051,-8.893950,4.891050
1764346968809,9.724951,-8.133000,5.712000
1764346968819,9.376050,-7.254000,3.931050
1764346968829,8.932950,-6.361050,-0.246000
1764346968839,9.517051,-6.601050,-9.325050
1764346968849,7.795050,-5.241000,-10.126950
1764346968859,6.298950,-3.355950,-5.092050
1764346968869,5.382000,-2.272050,-1.696950
1764346968879,4.863000,-2.110950,-0.136050
1764346968889,3.925950,-3.361050,-0.829950
1764346968899,3.241950,-3.457050,0.382950
1764346968909,2.976000,-2.620950,2.124000
1764346968919,3.201000,-2.065950,1.453050
1764346968929,3.934050,-1.968000,2.107050
1764346968939,4.420050,-1.908000,0.835050
1764346968949,4.498950,-1.615950,-0.484950
1764346968959,4.546950,-1.711950,-0.456000
1764346968968,4.626000,-2.212050,-0.588000
1764346968978,4.558050,-2.722050,-0.805950
1764346968988,4.381050,-3.430950,-1.210950
1764346968998,4.017000,-4.075050,-1.144050
1764346969008,3.961950,-5.025000,-1.108050
1764346969018,4.180050,-6.043050,-0.988050
1764346969028,4.507950,-7.084050,-0.789000
1764346969038,4.872000,-8.260051,-0.916050
1764346969048,5.377050,-9.817950,-1.969950
1764346969058,4.731000,-12.451951,-8.386050
1764346969068,0.522000,-16.096050,-26.457001
1764346969078,-12.016050,-19.491001,-25.126051
1764346969088,-11.149051,-18.724951,-7.359000
1764346969098,-7.015950,-17.893951,-7.771050
1764346969108,-2.982000,-13.885951,-13.435051
1764346969118,-3.054000,-11.652000,-16.801950
1764346969128,-1.633950,-12.373051,-8.809951
1764346969138,2.631000,-11.209050,-2.439000
1764346969148,5.911050,-10.110001,0.277950
1764346969158,8.230950,-9.820951,4.434000
1764346969167,9.502951,-9.421050,5.647950
1764346969177,11.250001,-9.565050,2.346000
1764346969187,12.936001,-10.102950,-0.720000
1764346969197,13.755001,-10.197001,-1.218000
1764346969207,13.519951,-9.136050,-2.949000
1764346969217,12.760951,-7.860001,-7.131001
1764346969227,10.450951,-7.651950,-4.596000
1764346969237,9.603001,-10.057950,-2.944050
1764346969247,8.908951,-11.347951,-4.186950
1764346969257,8.320050,-12.040051,-4.596000
1764346969267,7.372050,-12.658051,-4.255950
1764346969277,6.415950,-12.936001,-3.138000
1764346969287,5.320050,-12.229051,-1.788000
1764346969297,3.699000,-10.836000,-0.808050
1764346969307,2.254950,-9.598050,-0.684000
1764346969317,1.278000,-8.194950,-1.054950
1764346969327,0.559950,-6.784950,-1.230000
1764346969337,0.165000,-5.599950,-1.074000
1764346969347,-0.049050,-4.656000,-0.624000
1764346969356,-0.361050,-3.876000,-0.613950
1764346969366,-0.556950,-3.316050,-0.448950
